,Unnamed: 0,Destination Name,State,Category,Popular Attraction,Accessibility,Nearest Airport,Nearest Railway Station,Description,Activities,Budget,Best_Time
115,115,Bhopal,Madhya Pradesh,Heritage,Taj-ul-Masajid,Air/Rail/Road,Raja Bhoj Airport,Bhopal Junction,Bhopal is a city in Madhya Pradesh state. It is the capital of Madhya Pradesh state. The city is famous for its Taj-ul-Masajid.,"monument visits, cultural tours",low,October to March
116,116,Khajuraho,Madhya Pradesh,Heritage,Khajuraho Temples,Air/Rail/Road,Khajuraho Airport,Khajuraho Railway Station,Khajuraho is a village in Madhya Pradesh state. It is located on the banks of the Khajuraho River. The village is a popular tourist destination.,"monument visits, cultural tours",low,October to March
117,117,Sanchi,Madhya Pradesh,Heritage,Sanchi Stupa,Rail/Road,Raja Bhoj Airport,Sanchi Railway Station,Sanchi is a town in Madhya Pradesh state. Sanchi is a village in the district of Sanchi. Sanchi is a village in the district of Sanchi.,"monument visits, cultural tours",low,October to March
118,118,Orchha,Madhya Pradesh,Heritage,Orchha Fort Complex,Road,Gwalior Airport,Jhansi Junction,Orchha is a city in Madhya Pradesh state. It is the capital of the state and is the home of the Orchha Fort Complex.,"monument visits, cultural tours",low,October to March
119,119,Gwalior,Madhya Pradesh,Heritage,Gwalior Fort,Air/Rail/Road,Gwalior Airport,Gwalior Junction,Gwalior Fort is a fort in Madhya Pradesh.,"monument visits, cultural tours",low,October to March
120,120,Indore,Madhya Pradesh,Heritage,Rajwada Palace,Air/Rail/Road,Devi Ahilya Bai Holkar Airport,Indore Junction,"The Rajwada Palace is a palace in Indore, Madhya Pradesh.","monument visits, cultural tours",low,October to March
121,121,Ujjain,Madhya Pradesh,Religious,Mahakaleshwar Temple,Rail/Road,Devi Ahilya Bai Holkar Airport,Ujjain Junction,Ujjain is a city in Madhya Pradesh state. It is located on the banks of the Mahakaleshwar River. The city is famous for its temples and is also known for its beautiful landscapes.,"temple visits, spiritual activities",low,All year
122,122,Pachmarhi,Madhya Pradesh,Nature,Bee Falls,Road,Raja Bhoj Airport,Pipariya Railway Station,"Pachmarhi is a village in the district of Pachmarhi, Madhya Pradesh, India. It is located on the banks of the Bee River.","sightseeing, photography, relaxation",low,October to March
123,123,Bandhavgarh,Madhya Pradesh,Nature,Bandhavgarh National Park,Rail/Road,Jabalpur Airport,Umaria Railway Station,Bandhavgarh National Park is a national park in Madhya Pradesh.,"sightseeing, photography, relaxation",low,October to March
124,124,Kanha,Madhya Pradesh,Nature,Kanha Tiger Reserve,Road,Jabalpur Airport,Jabalpur Junction,Kanha is a village in the Kanha district of Madhya Pradesh. It is located on the banks of the Ganges River. The village is a popular tourist destination.,"sightseeing, photography, relaxation",low,October to March
125,125,Puri,Odisha,Religious,Jagannath Temple,Air/Rail/Road,Biju Patnaik International Airport,Puri Railway Station,The Jagannath Temple is a temple in the state of Odisha.,"temple visits, spiritual activities",low,All year
126,126,Konark,Odisha,Heritage,Sun Temple,Road,Biju Patnaik International Airport,Konark Railway Station,Konark is a place in Odisha known for Sun Temple.,"monument visits, cultural tours",low,October to March
127,127,Bhubaneswar,Odisha,Heritage,Lingaraj Temple,Air/Rail/Road,Biju Patnaik International Airport,Bhubaneswar Railway Station,"Bhubaneswar is a city in Odisha, India. It is the capital of the state of Odisha. The Lingaraj Temple is a temple in the city.","monument visits, cultural tours",low,October to March
128,128,Chilika Lake,Odisha,Nature,Chilika Bird Sanctuary,Rail/Road,Biju Patnaik International Airport,Balugaon Railway Station,Chilika Lake is a lake in Odisha. It is located in the north of the state. The lake is a popular tourist destination.,"sightseeing, photography, relaxation",low,October to March
129,129,Bhitarkanika,Odisha,Nature,Bhitarkanika National Park,Road,Biju Patnaik International Airport,Bhadrak Railway Station,Bhitarkanika National Park is a national park in Odisha.,"sightseeing, photography, relaxation",low,October to March
130,130,Jamshedpur,Jharkhand,Heritage,Jubilee Park,Air/Rail/Road,Sonari Airport,Tatanagar Junction,The city of Jamshedpur is a popular tourist destination in Jharkhand. The city is famous for its Jubilee Park.,"monument visits, cultural tours",low,October to March
131,131,Ranchi,Jharkhand,Nature,Hundru Falls,Air/Rail/Road,Birsa Munda Airport,Ranchi Railway Station,"Ranchi is a village in Jharkhand, India. It is located on the banks of the River Jharkhand. The village is a popular tourist destination.","sightseeing, photography, relaxation",low,October to March
132,132,Deoghar,Jharkhand,Religious,Baidyanath Jyotirlinga,Rail/Road,Deoghar Airport,Jasidih Junction,"Deoghar is a village in Jharkhand, India. It is located on the banks of the Baidyanath River. The village is famous for its Baidyanath Jyotirlinga.","temple visits, spiritual activities",low,All year
133,133,Netarhat,Jharkhand,Nature,Netarhat Sunrise Point,Road,Birsa Munda Airport,Latehar Railway Station,Netarhat is a village in Jharkhand state. It is located on the banks of the River Ganges. The village is a popular tourist destination.,"sightseeing, photography, relaxation",low,October to March
134,134,Patna,Bihar,Heritage,Patna Sahib Gurudwara,Air/Rail/Road,Jay Prakash Narayan Airport,Patna Junction,Patna Sahib Gurudwara is a temple in the city of Patna in Bihar.,"monument visits, cultural tours",low,October to March
135,135,Bodh Gaya,Bihar,Religious,Mahabodhi Temple,Air/Rail/Road,Gaya Airport,Gaya Junction,The Mahabodhi Temple is a temple in the city of Bihar.,"temple visits, spiritual activities",low,All year
136,136,Nalanda,Bihar,Heritage,Nalanda University Ruins,Road,Gaya Airport,Rajgir Railway Station,"Nalanda is a city in Bihar, India. It is the capital of Nalanda state. It is the home of Nalanda University.","monument visits, cultural tours",low,October to March
137,137,Rajgir,Bihar,Religious,Griddhakuta Hill,Rail/Road,Jay Prakash Narayan Airport,Rajgir Railway Station,The Rajgir is a hill in the Bihar state of Uttar Pradesh. It is located in the district of Rajgir. The Rajgir is a hill in the district of Rajgir.,"temple visits, spiritual activities",low,All year
138,138,Vaishali,Bihar,Heritage,Ashokan Pillar,Road,Jay Prakash Narayan Airport,Hajipur Junction,"Vaishali is a village in the district of Bihar, India. It is located on the banks of the River Ganges. The village is a popular tourist destination.","monument visits, cultural tours",low,October to March
139,139,Raipur,Chhattisgarh,Heritage,Nandan Van Zoo,Air/Rail/Road,Swami Vivekananda Airport,Raipur Junction,The Nandan Van Zoo is a zoo in Chhattisgarh.,"monument visits, cultural tours",low,October to March
140,140,Chitrakot Falls,Chhattisgarh,Nature,Chitrakot Waterfall,Road,Jagdalpur Airport,Jagdalpur Railway Station,Chitrakot falls are a waterfall in Chhattisgarh.,"sightseeing, photography, relaxation",low,October to March
141,141,Bastar,Chhattisgarh,Nature,Bastar Palace,Road,Jagdalpur Airport,Jagdalpur Railway Station,Bastar Palace is a palace in Chhattisgarh.,"sightseeing, photography, relaxation",low,October to March
142,142,Sirpur,Chhattisgarh,Heritage,Laxman Temple,Road,Swami Vivekananda Airport,Mahasamund Railway Station,The Laxman Temple is a temple in the city of Sirpur in Chhattisgarh.,"monument visits, cultural tours",low,October to March
143,143,Ahmedabad,Gujarat,Heritage,Sabarmati Ashram,Air/Rail/Road,Sardar Vallabhbhai Patel International Airport,Ahmedabad Junction,Sabarmati Ashram is a temple in Gujarat.,"monument visits, cultural tours",low,October to March
144,144,Rann of Kutch,Gujarat,Nature,White Desert,Road,Bhuj Airport,Bhuj Railway Station,"Rann of Kutch is a place in Gujarat, India. It is a place where the white desert is located.","sightseeing, photography, relaxation",low,October to March
145,145,Somnath,Gujarat,Religious,Somnath Jyotirlinga Temple,Rail/Road,Porbandar Airport,Somnath Railway Station,"The Jyotirlinga Temple is located in Somnath, Gujarat.","temple visits, spiritual activities",low,All year
146,146,Dwarka,Gujarat,Religious,Dwarkadhish Temple,Rail/Road,Jamnagar Airport,Dwarka Railway Station,"Dwarka is a village in the district of Dwarka, Gujarat, India. It is located on the banks of the River Dwarka. The Dwarkadhish Temple is a temple located in the village of Dwarka.","temple visits, spiritual activities",low,All year
147,147,Gir Forest,Gujarat,Nature,Asiatic Lion Reserve,Road,Rajkot Airport,Sasan Gir Railway Station,"Gir Forest is a forest in Gujarat, India. It is a protected area of the Indian state of Gujarat. The forest is home to the Asiatic Lion Reserve.","sightseeing, photography, relaxation",low,October to March
148,148,Vadodara,Gujarat,Heritage,Laxmi Vilas Palace,Air/Rail/Road,Vadodara Airport,Vadodara Junction,"Vadodara is a city in Gujarat, India. It is the capital of Laxmi Vilas Palace.","monument visits, cultural tours",low,October to March
149,149,Surat,Gujarat,Heritage,Surat Castle,Air/Rail/Road,Surat Airport,Surat Railway Station,Surat Castle is a castle in Gujarat.,"monument visits, cultural tours",low,October to March
150,150,Palitana,Gujarat,Religious,Palitana Jain Temples,Rail/Road,Bhavnagar Airport,Palitana Railway Station,"Palitana is a place in Gujarat, India. It is known for its Jain temples.","temple visits, spiritual activities",low,All year
151,151,Saputara,Gujarat,Mountains,Saputara Lake,Road,Surat Airport,Waghai Railway Station,Saputara is a village in the Saputara district of Gujarat. Saputara Lake is a lake in the Saputara district of Gujarat.,"trekking, hiking, camping, snow activities",low,March to June
152,152,Dehra Dun,Uttarakhand,Heritage,Mindrolling Monastery,Air/Rail/Road,Jolly Grant Airport,Dehradun Railway Station,Dehra Dun is a Buddhist monastery in the Himalayas.,"monument visits, cultural tours",medium,October to March
153,153,Lansdowne,Uttarakhand,Mountains,Tip n Top,Road,Jolly Grant Airport,Kotdwar Railway Station,Lansdowne is a village in the Uttarakhand state of Uttarakhand. It is located on the banks of the River Tipn Top.,"trekking, hiking, camping, snow activities",medium,March to June
154,154,Chopta,Uttarakhand,Adventure,Tungnath Temple,Road,Jolly Grant Airport,Haridwar Junction,"Chopta is a village in the district of Chopta, Uttarakhand. It is located on the banks of the Tungnath River. The village is famous for its temples and is also known for its ghats.","rafting, trekking, camping, skiing",medium,March to June
155,155,Valley of Flowers,Uttarakhand,Nature,UNESCO Biosphere Reserve,Road,Jolly Grant Airport,Rishikesh Railway Station,The Valley of Flowers is a UNESCO Biosphere Reserve in Uttarakhand.,"sightseeing, photography, relaxation",medium,October to March
156,156,Tehri,Uttarakhand,Adventure,Tehri Dam,Road,Jolly Grant Airport,Dehradun Railway Station,Tehri Dam is a dam in Uttarakhand.,"rafting, trekking, camping, skiing",medium,March to June
157,157,Imphal,Manipur,Heritage,Kangla Fort,Air/Road,Bir Tikendrajit International Airport,Jiribam Railway Station,The Kangla Fort is a fort in Manipur.,"monument visits, cultural tours",low,October to March
158,158,Loktak Lake,Manipur,Nature,Floating Islands,Road,Bir Tikendrajit International Airport,Jiribam Railway Station,"Loktak Lake is a lake in Manipur, India. It is a lake that is surrounded by a pond. The lake is a popular tourist destination.","sightseeing, photography, relaxation",low,October to March
159,159,Moreh,Manipur,Heritage,India-Myanmar Border,Road,Bir Tikendrajit International Airport,Jiribam Railway Station,The Moreh is a village in the Manipur district of India. It is located on the border between India and Myanmar.,"monument visits, cultural tours",low,October to March
160,160,Kohima,Nagaland,Heritage,Kohima War Cemetery,Air/Road,Dimapur Airport,Dimapur Railway Station,"Kohima is a small town in Nagaland, a small town in the north of the country. The town is the site of the first Kohima War Cemetery.","monument visits, cultural tours",low,October to March
161,161,Dimapur,Nagaland,Heritage,Rangapahar Reserve Forest,Air/Rail/Road,Dimapur Airport,Dimapur Railway Station,The Rangapahar Reserve Forest is a protected area in Nagaland.,"monument visits, cultural tours",low,October to March
162,162,Dzukou Valley,Nagaland,Nature,Dzukou Lily Fields,Road,Dimapur Airport,Dimapur Railway Station,Dzukou Valley is a valley in Nagaland known for its Dzukou Lily Fields.,"sightseeing, photography, relaxation",low,October to March
163,163,Aizawl,Mizoram,Mountains,Durtlang Hills,Air/Road,Lengpui Airport,Bairabi Railway Station,"Aizawl is a village in Mizoram, India. It is located on the banks of the Durtlang River.","trekking, hiking, camping, snow activities",low,March to June
164,164,Phawngpui,Mizoram,Mountains,Blue Mountain,Road,Lengpui Airport,Bairabi Railway Station,Phawngpui is a mountain in Mizoram. It is located in the north of the country.,"trekking, hiking, camping, snow activities",low,March to June
165,165,Agartala,Tripura,Heritage,Ujjayanta Palace,Air/Rail/Road,Maharaja Bir Bikram Airport,Agartala Railway Station,"Agartala is a city in Tripura, India. It is the capital of Tripura. The city is famous for its Ujjayanta Palace.","monument visits, cultural tours",low,October to March
166,166,Neermahal,Tripura,Heritage,Water Palace,Road,Maharaja Bir Bikram Airport,Melaghar Railway Station,"Neermahal is a city in Tripura, India. It is famous for its water palace.","monument visits, cultural tours",low,October to March
167,167,Unakoti,Tripura,Heritage,Rock Carvings,Road,Maharaja Bir Bikram Airport,Kailashahar Railway Station,"Unakoti is a village in Tripura, India. It is famous for its rock carvings.","monument visits, cultural tours",low,October to March
168,168,Arunachal Pradesh,Arunachal Pradesh,Adventure,Tawang Monastery,Air/Road,Itanagar Airport,Naharlagun Railway Station,Arunachal Pradesh is a state in India. It is the location of the Tawang Monastery.,"rafting, trekking, camping, skiing",low,March to June
169,169,Ziro,Arunachal Pradesh,Nature,Ziro Music Festival,Air/Road,Itanagar Airport,Naharlagun Railway Station,"Ziro is a town in Arunachal Pradesh, India. Ziro is a popular tourist destination. Ziro is a popular tourist destination in Arunachal Pradesh.","sightseeing, photography, relaxation",low,October to March
170,170,Pasighat,Arunachal Pradesh,Adventure,Siang River Rafting,Air/Road,Pasighat Airport,Murkongselek Railway Station,Pasighat is a village in Arunachal Pradesh state. It is located on the Siang River. The village is a popular tourist destination.,"rafting, trekking, camping, skiing",low,March to June
171,171,Bomdila,Arunachal Pradesh,Mountains,Bomdila Monastery,Road,Tezpur Airport,Tezpur Railway Station,Bomdila is a village in Arunachal Pradesh state. It is the capital of Bomdila district.,"trekking, hiking, camping, snow activities",low,March to June
172,172,Gangtok,Sikkim,Mountains,Rumtek Monastery,Air/Road,Pakyong Airport,New Jalpaiguri,Gangtok is a small village in the Gangtok district of Sikkim. It is located on the banks of the Gangtok River. The village is a popular tourist destination.,"trekking, hiking, camping, snow activities",low,March to June
173,173,Pelling,Sikkim,Mountains,Pemayangtse Monastery,Road,Bagdogra Airport,New Jalpaiguri,"Pelling is a small village in the north of Sikkim, in the north of the country. It is the home of the Pemayangtse Monastery.","trekking, hiking, camping, snow activities",low,March to June
174,174,Namchi,Sikkim,Religious,Samdruptse Statue,Road,Bagdogra Airport,New Jalpaiguri,"Namchi is a small village in the north of Sikkim, a small town in the north of the country. It is a small village in the Namchi district of Sikkim.","temple visits, spiritual activities",low,All year
175,175,Lachung,Sikkim,Nature,Yumthang Valley,Road,Bagdogra Airport,New Jalpaiguri,Lachung is a village in the Yumthang Valley in Sikkim.,"sightseeing, photography, relaxation",low,October to March
176,176,Yuksom,Sikkim,Adventure,Kanchenjunga Base Camp Trek,Road,Bagdogra Airport,New Jalpaiguri,Yuksom is a village in the Kanchenjunga Range of Sikkim. It is located in the north of the city of Sikkim.,"rafting, trekking, camping, skiing",low,March to June
177,177,Leh,Ladakh,Adventure,Leh Palace,Air/Road,Kushok Bakula Rimpochee Airport,Jammu Tawi,Leh Palace is a palace in Ladakh.,"rafting, trekking, camping, skiing",low,March to June
178,178,Nubra Valley,Ladakh,Adventure,Diskit Monastery,Road,Kushok Bakula Rimpochee Airport,Jammu Tawi,"Nubra Valley is a valley in Ladakh, known for the Diskit Monastery.","rafting, trekking, camping, skiing",low,March to June
179,179,Pangong Lake,Ladakh,Nature,Pangong Tso,Road,Kushok Bakula Rimpochee Airport,Jammu Tawi,Pangong Tso is a lake in Ladakh.,"sightseeing, photography, relaxation",low,October to March
180,180,Zanskar Valley,Ladakh,Adventure,Chadar Trek,Road,Kushok Bakula Rimpochee Airport,Jammu Tawi,Zanskar Valley is a valley in the Ladakh region of Ladakh. It is located on the border with Tibet.,"rafting, trekking, camping, skiing",low,March to June
181,181,Kargil,Ladakh,Heritage,Kargil War Memorial,Road,Kushok Bakula Rimpochee Airport,Jammu Tawi,Kargil is a village in the Ladakh state of Ladakh. It is located on the banks of the Kargil River. The village is a popular tourist destination.,"monument visits, cultural tours",low,October to March
182,182,Srinagar,Jammu and Kashmir,Nature,Dal Lake,Air/Road,Sheikh ul Alam International Airport,Banihal Railway Station,Srinagar is a city in the Jammu and Kashmir region of India. It is located on the banks of the Dal Lake.,"sightseeing, photography, relaxation",low,October to March
183,183,Gulmarg,Jammu and Kashmir,Adventure,Gulmarg Gondola,Road,Sheikh ul Alam International Airport,Banihal Railway Station,Gulmarg is a village in the Jammu and Kashmir state of Jammu and Kashmir. It is located on the banks of the Ganges River. The Gulmarg Gondola is a gondola that is used to transport people to and from the city.,"rafting, trekking, camping, skiing",low,March to June
184,184,Pahalgam,Jammu and Kashmir,Mountains,Betaab Valley,Road,Sheikh ul Alam International Airport,Banihal Railway Station,"Pahalgam is a village in the district of Pahalgam, Jammu and Kashmir, India. It is located on the banks of the Betaab River.","trekking, hiking, camping, snow activities",low,March to June
185,185,Sonamarg,Jammu and Kashmir,Adventure,Thajiwas Glacier,Road,Sheikh ul Alam International Airport,Banihal Railway Station,The Thajiwas Glacier is a glacier in the Indian subcontinent.,"rafting, trekking, camping, skiing",low,March to June
186,186,Jammu,Jammu and Kashmir,Religious,Vaishno Devi Temple,Air/Rail/Road,Jammu Airport,Jammu Tawi,The Vaishno Devi Temple is a temple in the city of Jammu and Kashmir.,"temple visits, spiritual activities",low,All year
187,187,Patnitop,Jammu and Kashmir,Mountains,Nathatop Plateau,Road,Jammu Airport,Udhampur Railway Station,"Patnitop is a village in the district of Jammu and Kashmir, India. It is located on the banks of the Nathatop River.","trekking, hiking, camping, snow activities",low,March to June
188,188,Pondicherry,Puducherry,Heritage,French Quarter,Rail/Road,Chennai International Airport,Pondicherry Railway Station,Pondicherry is a French Quarter in Puducherry.,"monument visits, cultural tours",low,October to March
189,189,Auroville,Puducherry,Religious,Matrimandir,Road,Chennai International Airport,Pondicherry Railway Station,"Auroville is a village in Puducherry, India. It is located on the banks of the River Auro and is a popular tourist destination.","temple visits, spiritual activities",low,All year
190,190,Kavaratti,Lakshadweep,Beach,Kavaratti Lagoon,Air,Agatti Airport,No Railway,"Kavaratti is a village in Lakshadweep, India. It is located in the Kavaratti Lagoon.","swimming, sunbathing, water sports, nightlife",high,November to February
191,191,Agatti Island,Lakshadweep,Beach,Agatti Lagoon,Air,Agatti Airport,No Railway,"Agatti Island is a small island in Lakshadweep, India. It is located on the north side of the Lakshadweep River. The island is located on the north side of the Lakshadweep River.","swimming, sunbathing, water sports, nightlife",high,November to February
192,192,Bangaram Island,Lakshadweep,Beach,Coral Reefs,Air,Agatti Airport,No Railway,"Bangaram Island is a small island in Lakshadweep, Sri Lanka. It is located on the north coast of Sri Lanka. The island is a popular tourist destination for tourists.","swimming, sunbathing, water sports, nightlife",high,November to February
193,193,Silvassa,Dadra and Nagar Haveli and Daman and Diu,Nature,Vanganga Lake Garden,Road,Surat Airport,Vapi Railway Station,The city of Silvassa is located in the north of the country and is a popular tourist destination. The city is also known for its famous Vanganga Lake Garden.,"sightseeing, photography, relaxation",low,October to March
194,194,Daman,Dadra and Nagar Haveli and Daman and Diu,Heritage,Fort of Moti Daman,Road,Surat Airport,Vapi Railway Station,The Fort of Moti Daman is located in the city of Daman. The Fort of Moti Daman is located in the city of Daman.,"monument visits, cultural tours",low,October to March
195,195,Diu,Dadra and Nagar Haveli and Daman and Diu,Heritage,Diu Fort,Air/Road,Diu Airport,Delwada Railway Station,"Diu Fort is a fort in the Indian state of Tamil Nadu. It is located in the north of the city and is the main gateway to the state capital, Daman.","monument visits, cultural tours",low,October to March
196,196,Coimbatore,Tamil Nadu,Heritage,Perur Pateeswarar Temple,Air/Rail/Road,Coimbatore International Airport,Coimbatore Junction,Coimbatore is a city in Tamil Nadu state in India. It is the capital city of Coimbatore and is the capital of the state. The city is also the home of the Perur Pateeswarar Temple.,"monument visits, cultural tours",medium,October to March
197,197,Tiruchirappalli,Tamil Nadu,Religious,Rock Fort Temple,Air/Rail/Road,Tiruchirappalli Airport,Tiruchirappalli Junction,Tiruchirappalli is a place in Tamil Nadu where the Rock Fort Temple is located.,"temple visits, spiritual activities",medium,All year
198,198,Vellore,Tamil Nadu,Heritage,Vellore Fort,Rail/Road,Chennai International Airport,Vellore Cantonment,Vellore Fort is a fort in Tamil Nadu.,"monument visits, cultural tours",medium,October to March
199,199,Yercaud,Tamil Nadu,Mountains,Emerald Lake,Road,Tiruchirappalli Airport,Salem Junction,Yercaud is a small town in the Tamil Nadu state of Tamil Nadu. It is located on the banks of the Emerald Lake.,"trekking, hiking, camping, snow activities",medium,March to June
200,200,Hogenakkal,Tamil Nadu,Nature,Hogenakkal Falls,Road,Bangalore International Airport,Dharmapuri Railway Station,Hogenakkal is a village in the Tamil Nadu state of Tamil Nadu. It is located on the banks of the Hogenakkal River.,"sightseeing, photography, relaxation",medium,October to March
201,201,Kumarakom,Kerala,Nature,Kumarakom Bird Sanctuary,Road,Cochin International Airport,Kottayam Railway Station,Kumarakom is a bird sanctuary in Kerala.,"sightseeing, photography, relaxation",high,October to March
202,202,Bekal,Kerala,Heritage,Bekal Fort,Rail/Road,Mangalore International Airport,Kasaragod Railway Station,Bekal Fort is a fort located in the northern part of Kerala.,"monument visits, cultural tours",high,October to March
203,203,Thrissur,Kerala,Heritage,Vadakkunnathan Temple,Rail/Road,Cochin International Airport,Thrissur Railway Station,"Thrissur is a city in Kerala, India. It is the capital of the state of Kerala. The city is the home of the Vadakkunnathan Temple.","monument visits, cultural tours",high,October to March
204,204,Palakkad,Kerala,Heritage,Palakkad Fort,Rail/Road,Coimbatore International Airport,Palakkad Junction,Palakkad Fort is a fort located in the southern part of Kerala.,"monument visits, cultural tours",high,October to March
205,205,Kannur,Kerala,Heritage,St. Angelo Fort,Air/Rail/Road,Kannur International Airport,Kannur Railway Station,Kannur is a city in the state of Kerala. The city is famous for its St. Angelo Fort.,"monument visits, cultural tours",high,October to March
206,206,Sasan Gir,Gujarat,Nature,Gir Wildlife Sanctuary,Road,Rajkot Airport,Junagadh Railway Station,Sasan Gir is a wildlife sanctuary in Gujarat.,"sightseeing, photography, relaxation",low,October to March
207,207,Champaner,Gujarat,Heritage,Champaner-Pavagadh UNESCO Site,Road,Vadodara Airport,Vadodara Junction,"Champaner is a city in Gujarat, India. It is located on the banks of the Champaner River. The Champaner-Pavagadh UNESCO Site is a UNESCO World Heritage Site.","monument visits, cultural tours",low,October to March
208,208,Modhera,Gujarat,Heritage,Sun Temple Modhera,Road,Sardar Vallabhbhai Patel International Airport,Mehsana Railway Station,The Sun Temple is a temple in Gujarat.,"monument visits, cultural tours",low,October to March
209,209,Lothal,Gujarat,Heritage,Harappan Archaeological Site,Road,Sardar Vallabhbhai Patel International Airport,Lothal Bhurkhi Railway Station,The Lothal is a UNESCO World Heritage Site in Gujarat.,"monument visits, cultural tours",low,October to March
210,210,Mandvi,Gujarat,Beach,Mandvi Beach,Road,Bhuj Airport,Bhuj Railway Station,Mandvi is a popular tourist destination in Gujarat. It is located in the north of the city and is a popular tourist destination.,"swimming, sunbathing, water sports, nightlife",low,November to February
211,211,Porbandar,Gujarat,Heritage,Kirti Mandir,Air/Rail/Road,Porbandar Airport,Porbandar Railway Station,The Kirti Mandir is a temple in the city of Porbandar in Gujarat.,"monument visits, cultural tours",low,October to March
212,212,Patan,Gujarat,Heritage,Rani ki Vav,Road,Sardar Vallabhbhai Patel International Airport,Patan Railway Station,Patan is a popular tourist destination in Gujarat. It is located in the heart of the city and is a popular place to visit for its Rani ki Vav.,"monument visits, cultural tours",low,October to March
213,213,Mount Abu,Rajasthan,Mountains,Dilwara Temples,Rail/Road,Maharana Pratap Airport,Abu Road Railway Station,Mount Abu is a popular tourist spot in Rajasthan. It is located on the banks of the River Jaipur and is the site of the Dilwara Temple.,"trekking, hiking, camping, snow activities",medium,March to June
214,214,Alwar,Rajasthan,Heritage,Alwar City Palace,Rail/Road,Jaipur International Airport,Alwar Junction,"Alwar is a city in Rajasthan, India. It is located in the heart of the city and is the home of the Alwar City Palace.","monument visits, cultural tours",medium,October to March
215,215,Sariska,Rajasthan,Nature,Sariska Tiger Reserve,Road,Jaipur International Airport,Alwar Junction,"Sariska is a small town in Rajasthan, India. It is the home of the Sariska Tiger Reserve.","sightseeing, photography, relaxation",medium,October to March
216,216,Barmer,Rajasthan,Heritage,Kiradu Temples,Rail/Road,Jodhpur Airport,Barmer Railway Station,"Barmer is a city in Rajasthan, India. It is located in the north of the city, near the Kiradu Temple. The city is famous for its temples and the Kiradu Temple.","monument visits, cultural tours",medium,October to March
217,217,Kota,Rajasthan,Heritage,Chambal Garden,Rail/Road,Kota Airport,Kota Junction,Kota is a small village in the Rajasthan state of Rajasthan. It is located on the banks of the River Jaipur. The village is famous for its Chambal Garden.,"monument visits, cultural tours",medium,October to March
218,218,Sikar,Rajasthan,Heritage,Khatu Shyamji Temple,Road,Jaipur International Airport,Sikar Road,Sikar is a small village in the Rajasthan state of Rajasthan. It is located on the banks of the Khatu River. The village is a popular tourist destination.,"monument visits, cultural tours",medium,October to March
219,219,Mandawa,Rajasthan,Heritage,Shekhawati Frescoes,Road,Jaipur International Airport,Loharu Railway Station,The Mandawa is a small town in the Rajasthan state of Rajasthan. It is famous for its Shekhawati Frescoes.,"monument visits, cultural tours",medium,October to March
220,220,Karauli,Rajasthan,Religious,Kaila Devi Temple,Road,Jaipur International Airport,Hindaun City Railway Station,The Kaila Devi Temple is a temple in the Rajasthan state of Rajasthan.,"temple visits, spiritual activities",medium,All year
221,221,Nagaur,Rajasthan,Heritage,Nagaur Fort,Road,Jodhpur Airport,Nagaur Railway Station,Nagaur Fort is a fort in the Rajasthan state of Rajasthan.,"monument visits, cultural tours",medium,October to March
222,222,Sawai Madhopur,Rajasthan,Nature,Ranthambore Fort,Rail/Road,Jaipur International Airport,Sawai Madhopur Junction,"Sawai Madhopur is a city in Rajasthan, India. It is located in the Ranthambore district. The city is famous for its Ranthambore Fort.","sightseeing, photography, relaxation",medium,October to March
223,223,Siliguri,West Bengal,Nature,Mahananda Wildlife Sanctuary,Air/Rail/Road,Bagdogra Airport,New Jalpaiguri,"Siliguri is a village in the district of Siliguri, West Bengal, India. It is located on the banks of the Mahananda River. The village is a popular tourist destination.","sightseeing, photography, relaxation",low,October to March
224,224,Kalimpong,West Bengal,Mountains,Deolo Hill,Road,Bagdogra Airport,New Jalpaiguri,"Kalimpong is a village in the district of Kalimpong, West Bengal. It is located on the banks of the Deolo River.","trekking, hiking, camping, snow activities",low,March to June
225,225,Cooch Behar,West Bengal,Heritage,Cooch Behar Palace,Rail/Road,Bagdogra Airport,Cooch Behar Railway Station,Cooch Behar is a city in the West Bengal state of West Bengal. It is located on the banks of the River Cooch and is the home of the Cooch Behar Palace.,"monument visits, cultural tours",low,October to March
226,226,Purulia,West Bengal,Nature,Ajodhya Hills,Rail/Road,Netaji Subhas Chandra Bose International Airport,Purulia Junction,Purulia is a village in the Ajodhya Hills district of West Bengal.,"sightseeing, photography, relaxation",low,October to March
227,227,Shantiniketan,West Bengal,Heritage,Visva Bharati University,Rail/Road,Netaji Subhas Chandra Bose International Airport,Bolpur Shantiniketan,"The Visva Bharati University is located in Shantiniketan, West Bengal.","monument visits, cultural tours",low,October to March
228,228,Bakkhali,West Bengal,Beach,Bakkhali Beach,Road,Netaji Subhas Chandra Bose International Airport,Namkhana Railway Station,"Bakkhali is a village in the district of Kota, West Bengal, India. It is located on the banks of the Kota River. The village is a popular tourist destination.","swimming, sunbathing, water sports, nightlife",low,November to February
229,229,Jaldapara,West Bengal,Nature,Jaldapara Wildlife Sanctuary,Road,Bagdogra Airport,Alipurduar Junction,Jaldapara is a village in the Jaldapara district of West Bengal. It is located on the banks of the Jaldapara River. The Jaldapara Wildlife Sanctuary is a wildlife sanctuary.,"sightseeing, photography, relaxation",low,October to March
